id,string_remove_stopwords,company_lower,occupation_lower,place_lower,keywords_combined
2947,learn professional finance people learn excellent team member wonderful culture,ocbc bank,management reporting,ocbc centre,learn professional finance people learn excellent team member wonderful culture management reporting ocbc bank ocbc centre
2948,everyday morning would retrieve casesrequests sent singapore branches start processing daytoday requests prepare statements like current account fixed account loan account savings account tax report etc type statement unique way processfor statements include fee would need debiting customers account moreover help process statements police investigation 530pm day end would review maintain report balancing requests processed received need work within tight deadline well undergoing internship learnt meticulous quick processing errors allowed banks slightest mistake result breach banking secrecy terms management wouldve needed manage stress needed work within deadline time management important always reached ocbc office 30 minutes early process requests hardest part job heavy workload customers requests police investigation handled requests every branches ocbc bank singapore statement request police investigation even tedious therefore bank employees processing always trained work quickly enjoyable part job knew great colleagues team leaders head arent mentors also good friends motivate teach encourage moreover could feel warmth team teamwork help share joy success crisis,ocbc bank,maker for statement & cheque book team,penang,everyday morning would retrieve casesrequests sent singapore branches start processing daytoday requests prepare statements like current account fixed account loan account savings account tax report etc type statement unique way processfor statements include fee would need debiting customers account moreover help process statements police investigation 530pm day end would review maintain report balancing requests processed received need work within tight deadline well undergoing internship learnt meticulous quick processing errors allowed banks slightest mistake result breach banking secrecy terms management wouldve needed manage stress needed work within deadline time management important always reached ocbc office 30 minutes early process requests hardest part job heavy workload customers requests police investigation handled requests every branches ocbc bank singapore statement request police investigation even tedious therefore bank employees processing always trained work quickly enjoyable part job knew great colleagues team leaders head arent mentors also good friends motivate teach encourage moreover could feel warmth team teamwork help share joy success crisis maker for statement & cheque book team ocbc bank penang
2949,great camaraderie coworkers boss learnt always go extra mile wow customers hardest part job also satisfying handling difficult demands customers treating complaints gifts,ocbc bank,"customer service executive, contact centre",raffles place,"great camaraderie coworkers boss learnt always go extra mile wow customers hardest part job also satisfying handling difficult demands customers treating complaints gifts customer service executive, contact centre ocbc bank raffles place"
2950,process inward remittance internal transfer transactions handle meps swift payments investigation nonreceipt funds handle enquiries internal external customers duties assigned,ocbc bank,electronic banking executive remittance,singapore,process inward remittance internal transfer transactions handle meps swift payments investigation nonreceipt funds handle enquiries internal external customers duties assigned electronic banking executive remittance ocbc bank singapore
2951,used work communicate schedule business meetings foreign clients internship developed strengths work diligence dedication great customer relationship management skills professionalism understanding financial services industry knowledge,ocbc bank,internship,singapore,used work communicate schedule business meetings foreign clients internship developed strengths work diligence dedication great customer relationship management skills professionalism understanding financial services industry knowledge internship ocbc bank singapore
2952,ive working company ocbc based singapore im learned lot found good friends shared things ive never know work time even worked 7 days week part job engage people follow thier policy procedure good team appreciated,ocbc bank,resident system engineer,singapore,ive working company ocbc based singapore im learned lot found good friends shared things ive never know work time even worked 7 days week part job engage people follow thier policy procedure good team appreciated resident system engineer ocbc bank singapore
2953,interned ocbc consumer banking summer 2012 internship exposed operations consumer banking given projects work performed market research competitors analysis provide management actionable recommendations,ocbc bank,global consumer financial services intern,"singapore,","interned ocbc consumer banking summer 2012 internship exposed operations consumer banking given projects work performed market research competitors analysis provide management actionable recommendations global consumer financial services intern ocbc bank singapore,"
2954,compart wonderful company work assisted taking company 1500 employees 12000 high technology company dynamic nothing could accomplish set goals objectives compart invested latest equipment technologies one best things company believed senior management team great idea wrote good business plan would invest capital develop plan compart great compensation benefit programs years bonus high bases management always sent executives special training paid costs hardest part job 32 weeks international travel still remain advisory board,ocbc bank,vice president of business development,"singapore, s00","compart wonderful company work assisted taking company 1500 employees 12000 high technology company dynamic nothing could accomplish set goals objectives compart invested latest equipment technologies one best things company believed senior management team great idea wrote good business plan would invest capital develop plan compart great compensation benefit programs years bonus high bases management always sent executives special training paid costs hardest part job 32 weeks international travel still remain advisory board vice president of business development ocbc bank singapore, s00"
2955,great environment helpful collegues workplace eccessible area near interchange mrt near mall lunch telegraphic transfers bank altho tight deadlines everyone work team able clear list,ocbc bank,admin clerk,tampines,great environment helpful collegues workplace eccessible area near interchange mrt near mall lunch telegraphic transfers bank altho tight deadlines everyone work team able clear list admin clerk ocbc bank tampines
2956,coworkers helpful understanding great chance improve softskills well technical skills,ocbc bank,intern,tampines,coworkers helpful understanding great chance improve softskills well technical skills intern ocbc bank tampines
2957,many supportive colleagues able learn expected internship definitely applied knowledge poly bank unlike many interns could,ocbc bank,intern,tampines,many supportive colleagues able learn expected internship definitely applied knowledge poly bank unlike many interns could intern ocbc bank tampines
2958,day work includes tasks like data entry income update basically update customer income details whenever change jobs silverlake system besides income update helped key customers data bank system record purposes even though working hours long still enjoyed job ideal internship enjoyable part get meet new people like temp staff full timers learnt good time management skills complete given tasks time initially first started difficult working something totally new know anyone weeks started feel comfortable working office environment therefore benefited lot internship,ocbc bank,internship,tampines,day work includes tasks like data entry income update basically update customer income details whenever change jobs silverlake system besides income update helped key customers data bank system record purposes even though working hours long still enjoyed job ideal internship enjoyable part get meet new people like temp staff full timers learnt good time management skills complete given tasks time initially first started difficult working something totally new know anyone weeks started feel comfortable working office environment therefore benefited lot internship internship ocbc bank tampines
2959,worked organization challenges never faced helped grew learned deal,ocbc bank,personal financial executive,kuala lumpur,worked organization challenges never faced helped grew learned deal personal financial executive ocbc bank kuala lumpur
2960,great experience improve knowledge banking services especially customer sevice field learned deal credit debit card services client singapore,ocbc bank,customer service executive,malaysia,great experience improve knowledge banking services especially customer sevice field learned deal credit debit card services client singapore customer service executive ocbc bank malaysia
2961,ocbc nisp 4th oldest bank indonesia learnt lot bank bank products bank system bank regulation built relationship customer bank open everyone want careers bank competitive environment,ocbc bank,full time - relationship officer,surabaya,ocbc nisp 4th oldest bank indonesia learnt lot bank bank products bank system bank regulation built relationship customer bank open everyone want careers bank competitive environment full time - relationship officer ocbc bank surabaya
2962,nice place work hands experience practical work gain knowledhe abount financial background,ocbc bank,system analyst,tampines,nice place work hands experience practical work gain knowledhe abount financial background system analyst ocbc bank tampines
2963,good working hours good environment good learned alot new things enjoyable much ppl helpful professional understanding,singtel,data processing officer,1 serangoon north,good working hours good environment good learned alot new things enjoyable much ppl helpful professional understanding data processing officer singtel 1 serangoon north
2964,typical workday busy hectic learned work fast pace environment complete given assignment quickly people met singtel friendly helpful even though intern took good care let learn throughout allowance got every month impressing,singtel,business support,ang mo kio,typical workday busy hectic learned work fast pace environment complete given assignment quickly people met singtel friendly helpful even though intern took good care let learn throughout allowance got every month impressing business support singtel ang mo kio
2965,good place work work life balance good salary good employee benefit workplace clean good air conditioning safe place work good learning culture,singtel,it analyst,ang mo kio,good place work work life balance good salary good employee benefit workplace clean good air conditioning safe place work good learning culture it analyst singtel ang mo kio
2966,everyday data entry given supervisorboss learn honest job accurate people working friendly hardest part get spot mistake done colleague say dont want admit enjoyable get mix around new friends,singtel,temp support staff,blangah bay west,everyday data entry given supervisorboss learn honest job accurate people working friendly hardest part get spot mistake done colleague say dont want admit enjoyable get mix around new friends temp support staff singtel blangah bay west
2967,product knowledge easy get hang awesome colleagues gives motivation come work everyday room filled tv huge bean bags makes look forward lunch breaks,singtel,customer care officer,bukit batok,product knowledge easy get hang awesome colleagues gives motivation come work everyday room filled tv huge bean bags makes look forward lunch breaks customer care officer singtel bukit batok
2968,really good experience working singapore telecommunication ltd based malaysia consumer operation department team manager,singtel,team leader customer service,"chicago, il","really good experience working singapore telecommunication ltd based malaysia consumer operation department team manager team leader customer service singtel chicago, il"
2969,companys business telecommunications learn kinds new technology order keep market changes meet customers need requirements although works competitive company regularly organised team bonding events thats make work life balance overall good company work,singtel,senior technician,comcentre,companys business telecommunications learn kinds new technology order keep market changes meet customers need requirements although works competitive company regularly organised team bonding events thats make work life balance overall good company work senior technician singtel comcentre
2970,good work life balance achieve targets easy way scope employee think take challenges achieve assigned goals,singtel,territory manager- channel sales,india,good work life balance achieve targets easy way scope employee think take challenges achieve assigned goals territory manager- channel sales singtel india
2971,company lot targets achieve meet expectations time managers always strict eyes part timers,singtel,part time promoter,jurong west,company lot targets achieve meet expectations time managers always strict eyes part timers part time promoter singtel jurong west
2972,managing large amounts inbound outbound calls timely manner following communication “ scripts ” handling different topics identifying customers ’ needs clarify information research every issue providing solutions andor alternatives seize opportunities upsell products arise build sustainable relationships engage customers taking extra mile keep records conversations call center database comprehensible way frequently attend educational seminars improve knowledge performance level meet personalteam qualitative quantitative targets,singtel,customer care officer,klang,managing large amounts inbound outbound calls timely manner following communication “ scripts ” handling different topics identifying customers ’ needs clarify information research every issue providing solutions andor alternatives seize opportunities upsell products arise build sustainable relationships engage customers taking extra mile keep records conversations call center database comprehensible way frequently attend educational seminars improve knowledge performance level meet personalteam qualitative quantitative targets customer care officer singtel klang
2973,dealing singaporean customers trains individual master patience multitasking also become good sales person learned time much polite way say never say customer find alternate sentence deliver message politely,singtel,customer care officer,klang,dealing singaporean customers trains individual master patience multitasking also become good sales person learned time much polite way say never say customer find alternate sentence deliver message politely customer care officer singtel klang
2974,good experience thought deal type individuals customers sadly resign wanted continue studies worked semester break,singtel,customer service - general,klang,good experience thought deal type individuals customers sadly resign wanted continue studies worked semester break customer service - general singtel klang
