id,string_remove_stopwords,company_lower,occupation_lower,place_lower,keywords_combined
1,eazy cash student want earn extra pocket money flexible schedule required work least one weekend per week nice people work,charles & keith,retail assistant,city hall,eazy cash student want earn extra pocket money flexible schedule required work least one weekend per week nice people work retail assistant charles & keith city hall
2,working charles keith definitely good opportunity meet different kinds people different profile provide proper customer service trainings staff best part working hours environment,charles & keith,fashion advisor,jurong point,working charles keith definitely good opportunity meet different kinds people different profile provide proper customer service trainings staff best part working hours environment fashion advisor charles & keith jurong point
3,charles keith well known local brand singapore asian countries working culture fastpaced quite stressful though since popular tourist everyday busy day work help become adaptable flexible terms working hours working time bit longer usual employee use work 10 hrs day 5 days without time pay neverthelessi still grateful working company ive learned lot use future,charles & keith,boutique manager,singapore,charles keith well known local brand singapore asian countries working culture fastpaced quite stressful though since popular tourist everyday busy day work help become adaptable flexible terms working hours working time bit longer usual employee use work 10 hrs day 5 days without time pay neverthelessi still grateful working company ive learned lot use future boutique manager charles & keith singapore
4,even tho part timer still need work frm opening closing certain days might need go home 11pm cleaning arranging things,charles & keith,retail assistant,vivo city,even tho part timer still need work frm opening closing certain days might need go home 11pm cleaning arranging things retail assistant charles & keith vivo city
5,recommend friends buy product charleskeith quality footware bags really good price well,charles & keith,sales associate,al ain,recommend friends buy product charleskeith quality footware bags really good price well sales associate charles & keith al ain
6,love much brand despite circumstances lack organise provide brand needed terms business demands every month year achieve goals,charles & keith,sales associate,dubai,love much brand despite circumstances lack organise provide brand needed terms business demands every month year achieve goals sales associate charles & keith dubai
7,pro understanding cooperative teams proactive managers cons salary market standard growth slow,charles & keith,fashion consultant,delhi,pro understanding cooperative teams proactive managers cons salary market standard growth slow fashion consultant charles & keith delhi
8,part time position great students levels polytechnic well students free days school schedule able balance work school family friends well,charles & keith,senior part-time sales associate,woodlands,part time position great students levels polytechnic well students free days school schedule able balance work school family friends well senior part-time sales associate charles & keith woodlands
9,long working hours much work tired work inadequate breaks tasks provided worth income time family enough,charles & keith,retail associate,kuala lumpur,long working hours much work tired work inadequate breaks tasks provided worth income time family enough retail associate charles & keith kuala lumpur
10,best job contract offer seasonal employee helped ermita store reaches target sales quota month december able sell lot products assist guest properly,charles & keith,seasonal cashier sales crew,"ermita, manila","best job contract offer seasonal employee helped ermita store reaches target sales quota month december able sell lot products assist guest properly seasonal cashier sales crew charles & keith ermita, manila"
11,job required taxing fast paced meet daily store personal kpi like sales assistant would assist inventory well customer service qualities trained charles keith well,charles & keith,customer service executive,singapore,job required taxing fast paced meet daily store personal kpi like sales assistant would assist inventory well customer service qualities trained charles keith well customer service executive charles & keith singapore
12,ck good enviroment work fun also learn many things ck give chance would work back staff superior friendly helpfull need help,charles & keith,visual merchandiser,johor bahru,ck good enviroment work fun also learn many things ck give chance would work back staff superior friendly helpfull need help visual merchandiser charles & keith johor bahru
13,great time learn lot things like management direct selling stock taking keeping inventory training target orientation etc,charles & keith,store manager,faisalabad,great time learn lot things like management direct selling stock taking keeping inventory training target orientation etc store manager charles & keith faisalabad
14,fun happy environment workplace handling stocks weekly report good teamwork customer service new fashion update every 2 weeks fashion forward company,charles & keith,senior retail associate,petaling jaya,fun happy environment workplace handling stocks weekly report good teamwork customer service new fashion update every 2 weeks fashion forward company senior retail associate charles & keith petaling jaya
15,typical day charles keith part time retail associate fast paced good customer relationship needs upheld think feet,charles & keith,retail assistant,ngee ann city,typical day charles keith part time retail associate fast paced good customer relationship needs upheld think feet retail assistant charles & keith ngee ann city
16,depending outlet assigned instance high customer definitely notice fast time pass also helped developed good communication skills customers,charles & keith,"part-time, promoter",tiong bahru,"depending outlet assigned instance high customer definitely notice fast time pass also helped developed good communication skills customers part-time, promoter charles & keith tiong bahru"
17,top management frequently micromanages basically clueless drive business effective methods high stress level respect personal space life,charles & keith,,,
18,pros professional learning types bags shoes accessories fashion forward product launching every week people good cons take times progress need high sales achievers good attendance good performance candidates,charles & keith,management trainee,singapore,pros professional learning types bags shoes accessories fashion forward product launching every week people good cons take times progress need high sales achievers good attendance good performance candidates management trainee charles & keith singapore
19,• design develop sophisticated product collections charles keith charles keith signature brands • liaise relevant parties eg factories suppliers etc merchandise development constructions • perform costing competitiveness study merchandise materials • perform regional product design development customisation accordance needs market overseas ’ partners • perform analysis feedback sales data understand customers ’ needs • conduct market online research current future trends • attend fairs buying trip outside singapore effectively design develop products categories according time line kpi discussed management • information center product development details changes china maintain regular communication product development manager provide informative updates • produce meet deadline specific number products planned product development manager • confirm sample details sending items singapore order improve efficiency • constantly source create new materials used current future product development,charles & keith,product development executive,dongguan,• design develop sophisticated product collections charles keith charles keith signature brands • liaise relevant parties eg factories suppliers etc merchandise development constructions • perform costing competitiveness study merchandise materials • perform regional product design development customisation accordance needs market overseas ’ partners • perform analysis feedback sales data understand customers ’ needs • conduct market online research current future trends • attend fairs buying trip outside singapore effectively design develop products categories according time line kpi discussed management • information center product development details changes china maintain regular communication product development manager provide informative updates • produce meet deadline specific number products planned product development manager • confirm sample details sending items singapore order improve efficiency • constantly source create new materials used current future product development product development executive charles & keith dongguan
20,feel valued trusted sense purpose job proud work opportunities develop personally professionally encouraged balance work personal lives feel able put needs ahead business committed best enjoy working colleagues deliver organisations goals customer focused brand ambassadors business,charles & keith,asst. store in charge,dubai,feel valued trusted sense purpose job proud work opportunities develop personally professionally encouraged balance work personal lives feel able put needs ahead business committed best enjoy working colleagues deliver organisations goals customer focused brand ambassadors business asst. store in charge charles & keith dubai
21,arrive work 1 hour opening stocks last 15 minutes briefing share new arrivals give feedbacks learn communicate customers professionally upsell items sales,charles & keith,sales associate,singapore,arrive work 1 hour opening stocks last 15 minutes briefing share new arrivals give feedbacks learn communicate customers professionally upsell items sales sales associate charles & keith singapore
22,’ eye opener working environment especially one keen fashion industry generally people friendly helpful one able receive staff discounts able participate team building activities including part timers one left behind supportive colleaguesfriends,charles & keith,retail assistant,plaza singapura,’ eye opener working environment especially one keen fashion industry generally people friendly helpful one able receive staff discounts able participate team building activities including part timers one left behind supportive colleaguesfriends retail assistant charles & keith plaza singapura
23,staff store ’ friendliest welcoming new employee may chinese could make someone feel left overall ’ tiring job,charles & keith,retail assistant,tampines,staff store ’ friendliest welcoming new employee may chinese could make someone feel left overall ’ tiring job retail assistant charles & keith tampines
24,cheating staffs payroll resignation paying amout deserved using hr terms worst ecommerce graphic team lead anger issues hr trustworthy cheat even though deserve even small amount regardless long served,charles & keith,graphic designer,"singapur, pr","cheating staffs payroll resignation paying amout deserved using hr terms worst ecommerce graphic team lead anger issues hr trustworthy cheat even though deserve even small amount regardless long served graphic designer charles & keith singapur, pr"
25,en charles kieth aprendido muchos cosas por ejemplo cómo puedo comunicar con los clientes cómo puedo líder cómo controlar la situación difícil,charles & keith,store manager,"jordana, murcia provincia","en charles kieth aprendido muchos cosas por ejemplo cómo puedo comunicar con los clientes cómo puedo líder cómo controlar la situación difícil store manager charles & keith jordana, murcia provincia"
26,promoting job helpful getting experience clothing market job tough work 10 hours straight hour break learnt lot internship helped throughout understand clothing fashion line works,charles & keith,promoter,mall of the emirates,promoting job helpful getting experience clothing market job tough work 10 hours straight hour break learnt lot internship helped throughout understand clothing fashion line works promoter charles & keith mall of the emirates
27,typical local start company traditional values good benefits strict attendance supervision nice office building gym kitchen staff cook,charles & keith,executive,singapore,typical local start company traditional values good benefits strict attendance supervision nice office building gym kitchen staff cook executive charles & keith singapore
28,good company management recognising hard work people give promotion perform well job great place work people started workingg,charles & keith,assistant manager,singapore,good company management recognising hard work people give promotion perform well job great place work people started workingg assistant manager charles & keith singapore
29,charles keith offered lot insight fashion world allowed part customers wanted attract helped understand trend present customers daily basis,charles & keith,fashion consultant,"kolkata, west bengal","charles keith offered lot insight fashion world allowed part customers wanted attract helped understand trend present customers daily basis fashion consultant charles & keith kolkata, west bengal"
30,journey company amazing got work closely senior management worth working company hold international renowned franchise businesses major brands umbrella,charles & keith,assistant store manager,"delhi, delhi","journey company amazing got work closely senior management worth working company hold international renowned franchise businesses major brands umbrella assistant store manager charles & keith delhi, delhi"
31,fun interactive workplace encouraging employees start conversation clients getting know people want also helping understand need,charles & keith,sales advisor,islamabad,fun interactive workplace encouraging employees start conversation clients getting know people want also helping understand need sales advisor charles & keith islamabad
32,nice job professional experienced hard sell brand well known world high class good quality proud work brand,charles & keith,sales associate,ezdan mall doha qatar.,nice job professional experienced hard sell brand well known world high class good quality proud work brand sales associate charles & keith ezdan mall doha qatar.
33,supervisor need know everything store also work staff patience energetic good example staff need adjust also working time shift changing everyday 1 year working charles keith ive learned lot really used present work,charles & keith,store supervisor,"sm north edsa, philippines","supervisor need know everything store also work staff patience energetic good example staff need adjust also working time shift changing everyday 1 year working charles keith ive learned lot really used present work store supervisor charles & keith sm north edsa, philippines"
34,far good think want hold position company alot commitment start arrange everything quit job start carrier,charles & keith,sales assistant,sepang,far good think want hold position company alot commitment start arrange everything quit job start carrier sales assistant charles & keith sepang
35,enjoyable part job customer satisfied service come work positive mindset get day even tired,charles & keith,retail sales,wisma atria,enjoyable part job customer satisfied service come work positive mindset get day even tired retail sales charles & keith wisma atria
36,briefing every morning top managementdiscuss yesterdays sales learned patience leadmanage deal unhappy customers make loyal store hardest part receiving big quantity products organize stock store hours best part team working hard u see results proud job,charles & keith,store manager,"yerevan, am","briefing every morning top managementdiscuss yesterdays sales learned patience leadmanage deal unhappy customers make loyal store hardest part receiving big quantity products organize stock store hours best part team working hard u see results proud job store manager charles & keith yerevan, am"
37,international brand good presence asia good brand get hands experience areas business low growth potential organisation flat reporting structure,charles & keith,commercial manager,singapore,international brand good presence asia good brand get hands experience areas business low growth potential organisation flat reporting structure commercial manager charles & keith singapore
38,typical day work learned company system scannerand hardest part unload containers box box enjoyable part job daily pickings,charles & keith,warehouse assistant,tai seng,typical day work learned company system scannerand hardest part unload containers box box enjoyable part job daily pickings warehouse assistant charles & keith tai seng
39,work charles keith mangement trainee required school job training 1 year charles keith one best company learn knowledge especially deal personculture nice way need patience,charles & keith,management trainee,singapore,work charles keith mangement trainee required school job training 1 year charles keith one best company learn knowledge especially deal personculture nice way need patience management trainee charles & keith singapore
40,working charles keith opened eyes world ecommerce busy throughout day management encouraging got sense fulfillment end every workday,charles & keith,packer,charles & keith hq,working charles keith opened eyes world ecommerce busy throughout day management encouraging got sense fulfillment end every workday packer charles & keith charles & keith hq
41,working charles keith great experience mea lot learningstrainings knowledge helps boost self confidencefor every day learning day charles keithin terms managementthey actually followed standard policies procedure enjoyed working bunch colleagues charles keith serves 2nd family,charles & keith,sales executive/display in charge/fashion advisor,philippines,working charles keith great experience mea lot learningstrainings knowledge helps boost self confidencefor every day learning day charles keithin terms managementthey actually followed standard policies procedure enjoyed working bunch colleagues charles keith serves 2nd family sales executive/display in charge/fashion advisor charles & keith philippines
42,enjoy open communication also plus point resolving disagreements clarity opportunity speak heard also greatly appreciated,charles & keith,customer service assistant manager,tai seng,enjoy open communication also plus point resolving disagreements clarity opportunity speak heard also greatly appreciated customer service assistant manager charles & keith tai seng
43,im working first day briefed scope work trainer would help set work time beginning thought product recognize product difference product learned position product easy find customer wants systems place makes easier employees work attempting respectively employees help helps speed things work hardest part job treat customers understand situations course customer always right principle enjoyable part staff work team dont mind new staff still treat part family,charles & keith,store keeper,one utama,im working first day briefed scope work trainer would help set work time beginning thought product recognize product difference product learned position product easy find customer wants systems place makes easier employees work attempting respectively employees help helps speed things work hardest part job treat customers understand situations course customer always right principle enjoyable part staff work team dont mind new staff still treat part family store keeper charles & keith one utama
44,started supposed amazing journey learnt lot day every day eyeopener culture people trade sum life changing experience,charles & keith,marketing executive,tai seng,started supposed amazing journey learnt lot day every day eyeopener culture people trade sum life changing experience marketing executive charles & keith tai seng
45,charles keith boutique falls foschini group brand store canal walk one two cape town first working experience high school staff management made pleasant one learnt good communication skills worked customers everyday challenged work toward incentive,charles & keith,sales assistant,"canal walk, western cape","charles keith boutique falls foschini group brand store canal walk one two cape town first working experience high school staff management made pleasant one learnt good communication skills worked customers everyday challenged work toward incentive sales assistant charles & keith canal walk, western cape"
46,nice place work want part time semester break learn attract customer tense work enjoyable time makes customer satisfied,charles & keith,sales representative,subang jaya,nice place work want part time semester break learn attract customer tense work enjoyable time makes customer satisfied sales representative charles & keith subang jaya
47,company provides train manage arrange sales according delivery order applicable learning experience managing products,charles & keith,retail assisstant,bandar sunway,company provides train manage arrange sales according delivery order applicable learning experience managing products retail assisstant charles & keith bandar sunway
48,customer service oriented ability meet sales goals possess strong ability prospect negotiate close sales excellent communication skills confidence motivation good organisational time management skills determination drive work towards targets skills work independently part team strong presentation skills,charles & keith,sales associate,bahrain,customer service oriented ability meet sales goals possess strong ability prospect negotiate close sales excellent communication skills confidence motivation good organisational time management skills determination drive work towards targets skills work independently part team strong presentation skills sales associate charles & keith bahrain
49,tenure charles keith different tasks done starts opening shop housekeeping arranging display items making sure following proper brand visual merchandising guidelines customer service priority tasks make sure make link sell good transaction value one customer management always good terms employees co workers charles keith motivated work well achieve target hardest part job achieving targets incentive month enjoyable part job whenever get customers give us sale multiple sales achieving shop target,charles & keith,sales assistant,doha,tenure charles keith different tasks done starts opening shop housekeeping arranging display items making sure following proper brand visual merchandising guidelines customer service priority tasks make sure make link sell good transaction value one customer management always good terms employees co workers charles keith motivated work well achieve target hardest part job achieving targets incentive month enjoyable part job whenever get customers give us sale multiple sales achieving shop target sales assistant charles & keith doha
50,first job levels working places realized really underpaid dont really like working retail much plus even get free food benefits transport home,charles & keith,sales girl,ion,first job levels working places realized really underpaid dont really like working retail much plus even get free food benefits transport home sales girl charles & keith ion
51,time eoss team use work straight team mutual understanding terms generate sale business believe customer satisfaction use motivate team store recognized services identical sales overall fantastic work company fell retail every day learning,charles & keith,store manager,"hyderabad, ap","time eoss team use work straight team mutual understanding terms generate sale business believe customer satisfaction use motivate team store recognized services identical sales overall fantastic work company fell retail every day learning store manager charles & keith hyderabad, ap"
52,good working charles keith store team stores good completely enjoyed working culture,charles & keith,area manager,"goregaon, mh","good working charles keith store team stores good completely enjoyed working culture area manager charles & keith goregaon, mh"
53,everything daily work make improve handling store issue learned lot control stock kind different customer issue management helpful term inventory wise hr hardest part maintained stock issue avoid losses enjoyable company treat people friend sharing problem store get advise team solve problem team work help others,charles & keith,retail supervisor,"putrajaya, m16","everything daily work make improve handling store issue learned lot control stock kind different customer issue management helpful term inventory wise hr hardest part maintained stock issue avoid losses enjoyable company treat people friend sharing problem store get advise team solve problem team work help others retail supervisor charles & keith putrajaya, m16"
54,thankful great full company providing opportunity becoming asm due growth take call 4 stores delhi store manager working last 45 years going forward come see growing,charles & keith,asst. store manager,delhi,thankful great full company providing opportunity becoming asm due growth take call 4 stores delhi store manager working last 45 years going forward come see growing asst. store manager charles & keith delhi
55,amateurs aspects starting management real technical skills requested company,charles & keith,technician and design advisor,c30,amateurs aspects starting management real technical skills requested company technician and design advisor charles & keith c30
56,start day smile responsible productive co workers,charles & keith,head cashier,philippines,start day smile responsible productive co workers head cashier charles & keith philippines
57,charles keith local womens shoe retailer became one successful companies singapore following success local market went set many outlets various countries intern international department opportunity learn processes operations company undertakes order foreign outlets successful spent week working different people operations sales shipping merchandising warehouse management could understand way international department functions end entire internship deliver presentation suggesting five different problems identified solutions problems,charles & keith,internship,singapore,charles keith local womens shoe retailer became one successful companies singapore following success local market went set many outlets various countries intern international department opportunity learn processes operations company undertakes order foreign outlets successful spent week working different people operations sales shipping merchandising warehouse management could understand way international department functions end entire internship deliver presentation suggesting five different problems identified solutions problems internship charles & keith singapore
58,manager first deal staffs make well groomed entertaining customer learned handle managerial position always make work light happy hardest check make reports store enjoyable part customer fulfilled item bought,charles & keith,store supervisor,singapore,manager first deal staffs make well groomed entertaining customer learned handle managerial position always make work light happy hardest check make reports store enjoyable part customer fulfilled item bought store supervisor charles & keith singapore
59,company lot training encourage employees study improve learn lot dbs always apply latest technologies,dbs bank,senior developer,central business district,company lot training encourage employees study improve learn lot dbs always apply latest technologies senior developer dbs bank central business district
60,saya senang karena menantang saya bahagia karena saya mencintai pekerjaan saya,dbs bank,salles,harmoni,saya senang karena menantang saya bahagia karena saya mencintai pekerjaan saya salles dbs bank harmoni
61,join dbs 9th march2020 cpe open digital salary acount lockdown dbs focus insurance terms revenue sale insurance every month try achive target,dbs bank,customer portfolio executive,"mumbai, maharashtra","join dbs 9th march2020 cpe open digital salary acount lockdown dbs focus insurance terms revenue sale insurance every month try achive target customer portfolio executive dbs bank mumbai, maharashtra"
62,good co work withnicegood mgmtamazing officehr policies goodleaves goodlot learn someone switching mnc,dbs bank,associate,"mumbai, maharashtra","good co work withnicegood mgmtamazing officehr policies goodleaves goodlot learn someone switching mnc associate dbs bank mumbai, maharashtra"
63,jobscope changed suddenly first day work expertise experience new role exboss racist cared staff nationality treated unfairly involved 24 hr work shift production support asked work afternoon shift 2 pm 11 pm allowed make transport claim work realised one could make transport claim excolleagues worked shift could claim taxi fares asked exboss discrepancy denied whatever said instance treated unfairly singaporean holding work pass permit one 3 singaporeans rest work permit holders country wanted complain hr could contract staff,dbs bank,senior systems analyst,changi business park,jobscope changed suddenly first day work expertise experience new role exboss racist cared staff nationality treated unfairly involved 24 hr work shift production support asked work afternoon shift 2 pm 11 pm allowed make transport claim work realised one could make transport claim excolleagues worked shift could claim taxi fares asked exboss discrepancy denied whatever said instance treated unfairly singaporean holding work pass permit one 3 singaporeans rest work permit holders country wanted complain hr could contract staff senior systems analyst dbs bank changi business park
64,contractors would treated like work slaves employees expected work weekends take granted without concerning developers burntout,dbs bank,senior java developer,changi,contractors would treated like work slaves employees expected work weekends take granted without concerning developers burntout senior java developer dbs bank changi
65,great working environment fair good opportunity given people overall friendly helpful good technology initiatives suited modern banking,dbs bank,customer support trade specialist,singapore,great working environment fair good opportunity given people overall friendly helpful good technology initiatives suited modern banking customer support trade specialist dbs bank singapore
66,bank good work culture also good productive bank good new learner one ask creativity trying complete job within tat everyone want enjoy dbs culture one thing hr department strong,dbs bank,specialist operations,"mumbai, maharashtra","bank good work culture also good productive bank good new learner one ask creativity trying complete job within tat everyone want enjoy dbs culture one thing hr department strong specialist operations dbs bank mumbai, maharashtra"
67,suatu pekerjaan di bank sebagai karyawan harus extra hati hati dengan masalah yang di hadapi oleh calon nasbah tersebut dan membandingkan fitur dalam bank tersebut di era digitaljadi sebagai karyawan kita harus paham era digital smua bank,dbs bank,agent dbs,jakarta selatan,suatu pekerjaan di bank sebagai karyawan harus extra hati hati dengan masalah yang di hadapi oleh calon nasbah tersebut dan membandingkan fitur dalam bank tersebut di era digitaljadi sebagai karyawan kita harus paham era digital smua bank agent dbs dbs bank jakarta selatan
68,highpaying stressful offers longer annual leaves fair amount medical leave negative side hard find balance work family due amount timededication,dbs bank,customer service officer,jurong east,highpaying stressful offers longer annual leaves fair amount medical leave negative side hard find balance work family due amount timededication customer service officer dbs bank jurong east
69,good experience working dbs asia leading bank environment fun much social activities making staff feel appreciated,dbs bank,service desk analyst desktop support,changi business park,good experience working dbs asia leading bank environment fun much social activities making staff feel appreciated service desk analyst desktop support dbs bank changi business park
70,good risk culture dbs bank willing case sharing across countries arise staffs risk awareness besides management encourage use new technology solve problem,dbs bank,assistant vice president - risk & control,"hong kong, hk","good risk culture dbs bank willing case sharing across countries arise staffs risk awareness besides management encourage use new technology solve problem assistant vice president - risk & control dbs bank hong kong, hk"
71,liked work culture explored many thingsgot learn lot first job dbs flexible working hours work home benefits well people levels cooperative,dbs bank,customer service executive,"nariman point, mumbai, maharashtra","liked work culture explored many thingsgot learn lot first job dbs flexible working hours work home benefits well people levels cooperative customer service executive dbs bank nariman point, mumbai, maharashtra"
72,nice organisation employees well educated nice training provided learnt good things life also learnt behave new peoples,dbs bank,customer service executive,"chennai, tamil nadu","nice organisation employees well educated nice training provided learnt good things life also learnt behave new peoples customer service executive dbs bank chennai, tamil nadu"
73,engagement line ops daily basis areas pertaining risk control team collaborative helpful interacting line ops team,dbs bank,institutional banking operations risk & control associate,changi,engagement line ops daily basis areas pertaining risk control team collaborative helpful interacting line ops team institutional banking operations risk & control associate dbs bank changi
74,depends posted youre posted branches opportunity grow earn higher decent amount robbed almost instantly randomly throw new roles duties staff insurance sale loan officer youre expected learn push sales asap included kpi bonus highly dependent sales insurance work ethics performance service staff give best service customers bonus zero dont force insurance sales customers branch management usually extremely poor managersleaders horribly biased unprofessional managersseniors get personal staff conveniently forget behave professional manner complaining hr worsen treatment branch people branch treat kindly knowing burst bubble working hours longer expected compensation extra time put receive items like nuts muffins hard work extra pay justified bonus managers helpful live stress every minute job expose mistakes one mistake made used leverage scare throughout year reminded appraisal reveal little bonus youre getting colleagues average although backstabbers rats enjoyable workplace neither,dbs bank,service executive,singapore,depends posted youre posted branches opportunity grow earn higher decent amount robbed almost instantly randomly throw new roles duties staff insurance sale loan officer youre expected learn push sales asap included kpi bonus highly dependent sales insurance work ethics performance service staff give best service customers bonus zero dont force insurance sales customers branch management usually extremely poor managersleaders horribly biased unprofessional managersseniors get personal staff conveniently forget behave professional manner complaining hr worsen treatment branch people branch treat kindly knowing burst bubble working hours longer expected compensation extra time put receive items like nuts muffins hard work extra pay justified bonus managers helpful live stress every minute job expose mistakes one mistake made used leverage scare throughout year reminded appraisal reveal little bonus youre getting colleagues average although backstabbers rats enjoyable workplace neither service executive dbs bank singapore
75,people encouraging working environment dynamic every day experience something new training experience new hireintern readily puts best condition meet requirements clientfacing role,dbs bank,wealth management intern,singapore,people encouraging working environment dynamic every day experience something new training experience new hireintern readily puts best condition meet requirements clientfacing role wealth management intern dbs bank singapore
76,competitive fun work environment lot opportunity grow individual sales pitching skills personal development dbs never fail keep pushing every working employee become best,dbs bank,sales officer,east singapore,competitive fun work environment lot opportunity grow individual sales pitching skills personal development dbs never fail keep pushing every working employee become best sales officer dbs bank east singapore
77,diverse culture learn lot though lot indians working bring lot box solutions table great working diverse set people,dbs bank,business analyst,changi,diverse culture learn lot though lot indians working bring lot box solutions table great working diverse set people business analyst dbs bank changi
78,good bank strategically located carries day day functions people lot people skilled dealing money earning,dbs bank,bank executive,chinatown,good bank strategically located carries day day functions people lot people skilled dealing money earning bank executive dbs bank chinatown
79,friendly colleagues comfortable working environment company basically treat employee equally nice reorg every year learned lot stakeholder management project management,dbs bank,"pmo, scrum master & change manager",singapore,"friendly colleagues comfortable working environment company basically treat employee equally nice reorg every year learned lot stakeholder management project management pmo, scrum master & change manager dbs bank singapore"
80,ya mungkin cukup 3 tahun saja saya bekerja di ptbank dbs,dbs bank,security,jakarta,ya mungkin cukup 3 tahun saja saya bekerja di ptbank dbs security dbs bank jakarta
81,hardest part job lot selfdiscipline stay highly motivated daily basis fastpaced environment,dbs bank,wealth planning manager,white sands shopping mall,hardest part job lot selfdiscipline stay highly motivated daily basis fastpaced environment wealth planning manager dbs bank white sands shopping mall
82,ya namanya juga telesalesgaji nya cuma 2 jutakalau mau pendapatan lebih harus dapat banyak nasabah yg di acc pinjamannya jam kerja extrem jam 800 sd 1900 dapat ilmu cara berkomunikasi,dbs bank,telesales,jakarta selatan,ya namanya juga telesalesgaji nya cuma 2 jutakalau mau pendapatan lebih harus dapat banyak nasabah yg di acc pinjamannya jam kerja extrem jam 800 sd 1900 dapat ilmu cara berkomunikasi telesales dbs bank jakarta selatan
83,generally informal environment lots group events activities management styles differ according department lot staff movement cramped working space friendly team,dbs bank,admin support,changi,generally informal environment lots group events activities management styles differ according department lot staff movement cramped working space friendly team admin support dbs bank changi
84,willing learn team work ok work hard get bonus commission work time responsible person resign family problem help company retrieve sales target worked happily dbs,dbs bank,customer service,wan chai,willing learn team work ok work hard get bonus commission work time responsible person resign family problem help company retrieve sales target worked happily dbs customer service dbs bank wan chai
85,current role allows one learn based experience knowledge engagement work environment conducive must able adapt changes change environment time must able put long hours dedication commitment produce excellent results prompt customer service,dbs bank,"analyst, wealth planning manager",singapore,"current role allows one learn based experience knowledge engagement work environment conducive must able adapt changes change environment time must able put long hours dedication commitment produce excellent results prompt customer service analyst, wealth planning manager dbs bank singapore"
86,intern dbs unable provide accurate view working company company culture great great benefits employees especially higher ranks,dbs bank,intern,marina bay,intern dbs unable provide accurate view working company company culture great great benefits employees especially higher ranks intern dbs bank marina bay
87,working dbs would give ample opportunities flex brain muscles faced multiple situations would resolve customers issues however team managers always around assist guide right direction colleagues friendly quick welcome part team,dbs bank,customer service officer,singapore,working dbs would give ample opportunities flex brain muscles faced multiple situations would resolve customers issues however team managers always around assist guide right direction colleagues friendly quick welcome part team customer service officer dbs bank singapore
88,made lot friends company learnt lot practical skills also learnt deal different people knowing needs,dbs bank,private banking - senior associate - senior assistant relationship manager,"hong kong, hk","made lot friends company learnt lot practical skills also learnt deal different people knowing needs private banking - senior associate - senior assistant relationship manager dbs bank hong kong, hk"
89,fast paced working environment good team leader good team bounding sessions,dbs bank,bank executive,singapore,fast paced working environment good team leader good team bounding sessions bank executive dbs bank singapore
90,good work nice environment learning dbs salary hike ’ expect every year contract renewal happens every year r depends team,dbs bank,business data analyst,singapore,good work nice environment learning dbs salary hike ’ expect every year contract renewal happens every year r depends team business data analyst dbs bank singapore
91,good work culture nice people work good exposure latest technologies faced much challeges always superiors guide,dbs bank,software engineer,singapore,good work culture nice people work good exposure latest technologies faced much challeges always superiors guide software engineer dbs bank singapore
92,good employee friendly value driven organisation embodies asian values takes good care employees encourages healthy inter personal culture,dbs bank,regional head credit- north india,"new delhi, delhi","good employee friendly value driven organisation embodies asian values takes good care employees encourages healthy inter personal culture regional head credit- north india dbs bank new delhi, delhi"
93,collaborative work culture fun working environment great team work supportive colleagues traditional rigid practice must follow protocols according ranks,dbs bank,assistant vice president,singapore,collaborative work culture fun working environment great team work supportive colleagues traditional rigid practice must follow protocols according ranks assistant vice president dbs bank singapore
94,best worklife balance policy implemented employment benefits working environment working dbs bank fulltime year,dbs bank,android developer,"hyderabad, telangana","best worklife balance policy implemented employment benefits working environment working dbs bank fulltime year android developer dbs bank hyderabad, telangana"
95,small team worked sense purpose camaraderie one main challenges branch network eight branches india time 201314 one eastern india fun convincing clients start banking us irrespective absence big network branches atms result every client acquired served utmost care professionalism empathy satisfying part existing client expressed satisfaction us gave us good references among hisher colleagues friends word mouth biggest advertisement time dbs india yet started advertising print television challenging part striking balance new time spent acquisitions serving existing clients keeping happy learned international trade finance particularly dealing documentary credit facilitating export receipts import payments small team management quite accessible could approached support queries occasional suggestions,dbs bank,business development manager,"kolkata, west bengal","small team worked sense purpose camaraderie one main challenges branch network eight branches india time 201314 one eastern india fun convincing clients start banking us irrespective absence big network branches atms result every client acquired served utmost care professionalism empathy satisfying part existing client expressed satisfaction us gave us good references among hisher colleagues friends word mouth biggest advertisement time dbs india yet started advertising print television challenging part striking balance new time spent acquisitions serving existing clients keeping happy learned international trade finance particularly dealing documentary credit facilitating export receipts import payments small team management quite accessible could approached support queries occasional suggestions business development manager dbs bank kolkata, west bengal"
